Produto,Região,Preço,Dia,Mês,Ano,Data,Média Precipitação Total (mm),Média Pressão Atmosférica (mB),Média Temperatura do Ar (°C),Média Umidade Relativa do Ar (%),Média Vento Velocidade (m/s)
Alface Americana,Ibiúna,"R$ 8,00",5,3,2013,2013-03-05 00:00:00,0.1625,945.417,23.49,74.68%,2.2
Alface Crespa,Ibiúna,"R$ 5,50",5,3,2013,2013-03-05 00:00:00,0.1625,945.417,23.49,74.68%,2.2
Alface Lisa,Ibiúna,"R$ 5,00",5,3,2013,2013-03-05 00:00:00,0.1625,945.417,23.49,74.68%,2.2
Alface Americana,Mogi das Cruzes,"R$ 9,43",5,3,2013,2013-03-05 00:00:00,0.1229,925.893,23.47,69.19%,2.24
Alface Crespa,Mogi das Cruzes,"R$ 7,00",5,3,2013,2013-03-05 00:00:00,0.1229,925.893,23.47,69.19%,2.24
Alface Lisa,Mogi das Cruzes,"R$ 8,00",5,3,2013,2013-03-05 00:00:00,0.1229,925.893,23.47,69.19%,2.24
Alface Americana,Ibiúna,"R$ 4,00",12,3,2013,2013-03-12 00:00:00,0.5365,944.121,23.72,81.38%,1.74
Alface Crespa,Ibiúna,"R$ 4,00",12,3,2013,2013-03-12 00:00:00,0.5365,944.121,23.72,81.38%,1.74
Alface Americana,Mogi das Cruzes,"R$ 7,67",12,3,2013,2013-03-12 00:00:00,0.5771,924.426,24.23,74.76%,1.89
Alface Crespa,Mogi das Cruzes,"R$ 6,00",12,3,2013,2013-03-12 00:00:00,0.5771,924.426,24.23,74.76%,1.89
Alface Lisa,Mogi das Cruzes,"R$ 7,00",12,3,2013,2013-03-12 00:00:00,0.5771,924.426,24.23,74.76%,1.89
Alface Americana,Ibiúna,"R$ 12,00",19,3,2013,2013-03-19 00:00:00,0.1312,945.85,21.5,82.04%,2.85
Alface Crespa,Ibiúna,"R$ 8,00",19,3,2013,2013-03-19 00:00:00,0.1312,945.85,21.5,82.04%,2.85
Alface Lisa,Ibiúna,"R$ 10,00",19,3,2013,2013-03-19 00:00:00,0.1312,945.85,21.5,82.04%,2.85
Alface Americana,Mogi das Cruzes,"R$ 10,67",19,3,2013,2013-03-19 00:00:00,0.2188,926.285,20.9,81.98%,2.5
Alface Crespa,Mogi das Cruzes,"R$ 9,67",19,3,2013,2013-03-19 00:00:00,0.2188,926.285,20.9,81.98%,2.5
Alface Lisa,Mogi das Cruzes,"R$ 10,80",19,3,2013,2013-03-19 00:00:00,0.2188,926.285,20.9,81.98%,2.5
Alface Americana,Ibiúna,"R$ 10,67",26,3,2013,2013-03-26 00:00:00,0.1427,945.636,20.74,81.77%,2.28
Alface Crespa,Ibiúna,"R$ 12,00",26,3,2013,2013-03-26 00:00:00,0.1427,945.636,20.74,81.77%,2.28
