Produto,Região,Preço,Dia,Mês,Ano,Data
Alface Americana,Mogi das Cruzes,"R$ 9,43",5,3,2013,2013-03-05 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 7,00",5,3,2013,2013-03-05 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 8,00",5,3,2013,2013-03-05 00:00:00
Alface Americana,Ibiúna,"R$ 8,00",5,3,2013,2013-03-05 00:00:00
Alface Crespa,Ibiúna,"R$ 5,50",5,3,2013,2013-03-05 00:00:00
Alface Lisa,Ibiúna,"R$ 5,00",5,3,2013,2013-03-05 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 7,67",12,3,2013,2013-03-12 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 6,00",12,3,2013,2013-03-12 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 7,00",12,3,2013,2013-03-12 00:00:00
Alface Americana,Ibiúna,"R$ 4,00",12,3,2013,2013-03-12 00:00:00
Alface Crespa,Ibiúna,"R$ 4,00",12,3,2013,2013-03-12 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 10,67",19,3,2013,2013-03-19 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 9,67",19,3,2013,2013-03-19 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 10,80",19,3,2013,2013-03-19 00:00:00
Alface Americana,Ibiúna,"R$ 12,00",19,3,2013,2013-03-19 00:00:00
Alface Crespa,Ibiúna,"R$ 8,00",19,3,2013,2013-03-19 00:00:00
Alface Lisa,Ibiúna,"R$ 10,00",19,3,2013,2013-03-19 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 11,00",26,3,2013,2013-03-26 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 10,67",26,3,2013,2013-03-26 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 12,00",26,3,2013,2013-03-26 00:00:00
Alface Americana,Ibiúna,"R$ 10,67",26,3,2013,2013-03-26 00:00:00
Alface Crespa,Ibiúna,"R$ 12,00",26,3,2013,2013-03-26 00:00:00
Alface Lisa,Ibiúna,"R$ 12,00",26,3,2013,2013-03-26 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 12,00",2,4,2013,2013-04-02 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 11,25",2,4,2013,2013-04-02 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 12,00",2,4,2013,2013-04-02 00:00:00
Alface Americana,Ibiúna,"R$ 13,50",2,4,2013,2013-04-02 00:00:00
Alface Crespa,Ibiúna,"R$ 15,00",2,4,2013,2013-04-02 00:00:00
Alface Lisa,Ibiúna,"R$ 20,00",2,4,2013,2013-04-02 00:00:00
Alface Crespa,Ibiúna,"R$ 15,00",3,4,2013,2013-04-03 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 11,60",9,4,2013,2013-04-09 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 11,14",9,4,2013,2013-04-09 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 11,00",9,4,2013,2013-04-09 00:00:00
Alface Americana,Ibiúna,"R$ 16,00",9,4,2013,2013-04-09 00:00:00
Alface Crespa,Ibiúna,"R$ 10,00",9,4,2013,2013-04-09 00:00:00
Alface Lisa,Ibiúna,"R$ 12,67",9,4,2013,2013-04-09 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 16,50",16,4,2013,2013-04-16 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 10,40",16,4,2013,2013-04-16 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 11,00",16,4,2013,2013-04-16 00:00:00
Alface Americana,Ibiúna,"R$ 18,00",16,4,2013,2013-04-16 00:00:00
Alface Crespa,Ibiúna,"R$ 8,00",16,4,2013,2013-04-16 00:00:00
Alface Lisa,Ibiúna,"R$ 10,00",16,4,2013,2013-04-16 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 17,40",23,4,2013,2013-04-23 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 12,29",23,4,2013,2013-04-23 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 13,60",23,4,2013,2013-04-23 00:00:00
Alface Americana,Ibiúna,"R$ 25,00",23,4,2013,2013-04-23 00:00:00
Alface Crespa,Ibiúna,"R$ 20,00",23,4,2013,2013-04-23 00:00:00
Alface Lisa,Ibiúna,"R$ 10,00",23,4,2013,2013-04-23 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 10,67",30,4,2013,2013-04-30 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 8,40",30,4,2013,2013-04-30 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 10,00",30,4,2013,2013-04-30 00:00:00
Alface Americana,Ibiúna,"R$ 11,00",30,4,2013,2013-04-30 00:00:00
Alface Crespa,Ibiúna,"R$ 8,00",30,4,2013,2013-04-30 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 12,00",7,5,2013,2013-05-07 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 9,00",7,5,2013,2013-05-07 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 9,50",7,5,2013,2013-05-07 00:00:00
Alface Americana,Ibiúna,"R$ 4,00",7,5,2013,2013-05-07 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 15,00",14,5,2013,2013-05-14 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 7,33",14,5,2013,2013-05-14 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 7,50",14,5,2013,2013-05-14 00:00:00
Alface Americana,Ibiúna,"R$ 10,00",14,5,2013,2013-05-14 00:00:00
Alface Crespa,Ibiúna,"R$ 6,00",14,5,2013,2013-05-14 00:00:00
Alface Lisa,Ibiúna,"R$ 8,00",14,5,2013,2013-05-14 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 9,50",24,5,2013,2013-05-24 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 7,25",24,5,2013,2013-05-24 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 7,00",24,5,2013,2013-05-24 00:00:00
Alface Americana,Ibiúna,"R$ 10,00",24,5,2013,2013-05-24 00:00:00
Alface Crespa,Ibiúna,"R$ 6,00",24,5,2013,2013-05-24 00:00:00
Alface Lisa,Ibiúna,"R$ 8,00",24,5,2013,2013-05-24 00:00:00
Alface Americana,Mogi das Cruzes,"R$ 7,75",27,5,2013,2013-05-27 00:00:00
Alface Crespa,Mogi das Cruzes,"R$ 6,20",27,5,2013,2013-05-27 00:00:00
Alface Lisa,Mogi das Cruzes,"R$ 7,00",27,5,2013,2013-05-27 00:00:00
Alface Americana,Ibiúna,"R$ 12,50",27,5,2013,2013-05-27 00:00:00
Alface Crespa,Ibiúna,"R$ 6,00",27,5,2013,2013-05-27 00:00:00
Alface Lisa,Ibiúna,"R$ 8,00",27,5,2013,2013-05-27 00:00:00
