DATA;HORA;PRECIPITA��O TOTAL, HOR�RIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESS�O ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESS�O ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m�);TEMPERATURA DO AR - BULBO SECO, HORARIA (�C);TEMPERATURA DO PONTO DE ORVALHO (�C);TEMPERATURA M�XIMA NA HORA ANT. (AUT) (�C);TEMPERATURA M�NIMA NA HORA ANT. (AUT) (�C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (�C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (�C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIRE��O HORARIA (gr) (� (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2019/01/01;0000 UTC;0;944,5;944,5;943,6;;23;18,5;24,9;23;19;18,4;76;70;76;114;9,9;4,2;
2019/01/01;0100 UTC;0;944,8;944,8;944,5;;22;17,7;23,1;22;18,5;17,7;77;74;76;118;7,4;4,5;
2019/01/01;0200 UTC;0;945;945,1;944,8;;21;17,5;22,2;20,8;17,7;17,1;82;75;81;138;6,7;,5;
2019/01/01;0300 UTC;0;944,7;945;944,7;;19,9;17,1;21,1;19,8;17,5;16,9;84;79;84;178;5,3;2,4;
2019/01/01;0400 UTC;0;943,9;944,7;943,9;;19,4;17,2;19,9;19,2;17,2;16,9;87;84;87;125;3,7;1,4;
2019/01/01;0500 UTC;0;943,7;943,9;943,5;;19,4;17,1;19,7;19,1;17,4;16,9;87;86;86;150;4,2;1,8;
2019/01/01;0600 UTC;0;944;944,1;943,7;;19,2;17,1;19,6;19;17,2;16,8;88;86;88;193;3;2,1;
2019/01/01;0700 UTC;0;944,2;944,2;943,9;;19;17,3;19,4;18,8;17,3;17;90;87;89;133;3,5;2,2;
2019/01/01;0800 UTC;0;944,7;944,7;944,1;;18,9;17,2;19,2;18,7;17,3;17,1;90;89;90;183;4,2;2,8;
2019/01/01;0900 UTC;0;945,5;945,5;944,7;45,4;19,5;17,6;19,5;18,7;17,6;17,1;91;89;89;181;4,2;1,9;
2019/01/01;1000 UTC;0;946,5;946,5;945,5;505,4;22,6;18,5;22,6;19,5;18,7;17,6;89;77;77;121;2,7;0;
2019/01/01;1100 UTC;0;947;947;946,5;1295;24,9;19;25,1;22,4;19,5;18,3;79;69;70;89;4,2;1,9;
2019/01/01;1200 UTC;0;947,4;947,4;947,1;2120,3;26,2;18,8;26,8;24,5;19,9;18,5;71;63;64;30;6,2;2,7;
2019/01/01;1300 UTC;0;947,5;947,5;947,3;2673,8;27,5;19,1;28,1;25,7;20;18,6;67;60;60;4;7,7;2,8;
2019/01/01;1400 UTC;0;947,2;947,5;947,2;2765,4;28,3;20,1;28,8;27;20,7;18,8;63;59;61;337;7,7;3;
2019/01/01;1500 UTC;0;946,7;947,2;946,7;3682,8;30;20,9;30;28;21,1;19,4;63;56;58;279;7,6;2,9;
2019/01/01;1600 UTC;0;945,7;946,8;945,7;3586,6;30,7;19,7;30,9;29,4;21;19,2;58;50;52;260;7,3;2,9;
2019/01/01;1700 UTC;0;944,8;945,7;944,8;2756,6;31,5;17,9;31,8;30,2;20,5;17,9;53;44;44;238;6,6;2,9;
2019/01/01;1800 UTC;0;943,7;944,8;943,7;2629,3;31,9;18,1;32,7;30,8;19,5;15,6;48;37;44;243;6,2;3,2;
2019/01/01;1900 UTC;0;943,8;944;943,5;1746,2;32,2;17,3;32,8;30,8;18,7;16,6;46;40;41;17;7;,1;
2019/01/01;2000 UTC;0;943,8;943,9;943,3;1716;27;19,7;33,2;27;20,1;15,7;65;37;64;8;8,2;4;
2019/01/01;2100 UTC;,6;944,9;944,9;943,7;163,3;23,3;20,7;27;23,3;20,7;19,6;85;64;85;77;8,3;4,6;
2019/01/01;2200 UTC;0;946;946;944,9;192,8;23,2;20,8;23,5;23,2;21,1;20,5;87;83;86;42;7,3;1,5;
2019/01/01;2300 UTC;0;946,9;946,9;945,9;;23,1;21,2;23,5;23;21,6;20,8;90;86;89;358;3,4;1,2;
2019/01/02;0000 UTC;,4;947,4;947,4;946,9;;22,2;20,8;23,3;22,2;21,2;20,5;92;85;91;254;3,4;,2;
2019/01/02;0100 UTC;0;947,8;947,8;947,4;;22,6;21,1;22,8;22,2;21,1;20,7;91;89;91;239;1,9;0;
2019/01/02;0200 UTC;0;948,2;948,2;947,8;;22,1;20,9;22,7;22;21,3;20,8;93;91;93;302;2,6;1,4;
2019/01/02;0300 UTC;0;947,3;948,2;947,3;;22,3;20,8;22,3;22;21;20,6;93;91;91;233;2,6;0;
2019/01/02;0400 UTC;0;946,6;947,3;946,6;;22,2;20,8;22,4;22,1;20,9;20,6;91;90;91;113;2,7;1,9;
2019/01/02;0500 UTC;0;946;946,6;946;;22,5;20,7;22,5;22,2;20,9;20,7;92;89;89;140;2,7;1,7;
2019/01/02;0600 UTC;0;945,7;946;945,6;;22,5;20,4;22,6;22,5;20,6;20,4;89;88;88;102;2,6;1,2;
2019/01/02;0700 UTC;0;946;946;945,6;;21,6;20,3;22,7;21,6;20,7;20,1;92;88;92;58;1,5;0;
2019/01/02;0800 UTC;0;946,4;946,5;946;;21,4;20,1;21,9;21,3;20,7;19,9;94;92;93;31;1,7;0;
2019/01/02;0900 UTC;0;947,4;947,4;946,4;32,6;21,2;20;21,7;21,2;20,5;19,9;93;92;93;198;,2;0;
2019/01/02;1000 UTC;0;948,2;948,2;947,4;486,6;23,3;20,6;23,4;21,2;21,3;20;94;84;85;34;0;0;
2019/01/02;1100 UTC;0;948,6;948,6;948,2;1266,1;24,3;20,7;24,4;23,3;21,1;20,4;85;80;80;354;3,2;1,9;
2019/01/02;1200 UTC;0;948,7;948,8;948,6;2058,4;25,5;20,8;25,8;24,3;21,3;20,3;81;73;75;328;5,2;2,7;
