Data,Média Precipitação Total (mm),Média Pressão Atmosférica (mB),Média Temperatura do Ar (°C),Média Umidade Relativa do Ar (%),Média Vento Velocidade (m/s)
2013-01-01 00:00:00,0,942.6,27.1,66,2.2
2013-01-01 00:00:00,0,942.9,28.9,63,2
2013-01-01 00:00:00,0,943.1,30.2,56,3.5
2013-01-01 00:00:00,0,943.3,19.7,96,0.5
2013-01-01 00:00:00,0,943.4,24.3,73,0.6
2013-01-01 00:00:00,0,943.6,19.6,96,1.4
2013-01-01 00:00:00,0,943.7,20.1,96,0.5
2013-01-01 00:00:00,0,943.8,19.7,96,0.5
2013-01-01 00:00:00,0,943.8,28.7,68,3.5
2013-01-01 00:00:00,0,943.9,20.2,96,0.4
2013-01-01 00:00:00,0,944,28.4,68,4.5
2013-01-01 00:00:00,0,944.3,20,96,0
2013-01-01 00:00:00,0,944.4,21.9,87,2.6
2013-01-01 00:00:00,0,944.4,26.7,77,2.6
2013-01-01 00:00:00,0,944.7,21.9,95,1.4
2013-01-01 00:00:00,0,944.7,24.1,89,1.4
2013-01-01 00:00:00,0,944.8,20.3,96,0.3
2013-01-01 00:00:00,0,944.8,21.7,88,3.2
2013-01-01 00:00:00,0.2,942.8,22,85,3.1
2013-01-01 00:00:00,0.2,943.8,19.9,96,0.4
2013-01-01 00:00:00,0.4,943.8,23.1,78,0.8
2013-01-01 00:00:00,1,944.8,20.4,96,1.8
2013-01-01 00:00:00,2.4,946.5,21.2,90,2.4
2013-01-01 00:00:00,23.4,946,20.2,96,0.7
2013-01-02 00:00:00,0,944.3,21.1,90,2.4
2013-01-02 00:00:00,0,944.4,20.7,92,3.6
2013-01-02 00:00:00,0,944.4,20.7,93,1.9
2013-01-02 00:00:00,0,944.5,21.1,90,2.4
2013-01-02 00:00:00,0,944.6,20.6,93,0.3
2013-01-02 00:00:00,0,945,20.8,91,2.1
2013-01-02 00:00:00,0,945.1,20.9,91,2.3
2013-01-02 00:00:00,0,945.4,21.6,86,2.1
2013-01-02 00:00:00,0,945.5,21,91,3.1
2013-01-02 00:00:00,0,945.5,22.7,70,8.2
2013-01-02 00:00:00,0,945.7,23.8,68,6.7
2013-01-02 00:00:00,0,945.9,21.4,90,2.7
2013-01-02 00:00:00,0,945.9,21.9,85,2.4
2013-01-02 00:00:00,0,945.9,26,68,5.4
2013-01-02 00:00:00,0,946,22.2,70,6.2
2013-01-02 00:00:00,0,946,24.8,67,6.6
2013-01-02 00:00:00,0,946,25.8,66,6.7
2013-01-02 00:00:00,0,946.6,22.8,82,3.5
2013-01-02 00:00:00,0,946.6,25.3,72,4.2
2013-01-02 00:00:00,0,946.8,20.5,76,5.8
2013-01-02 00:00:00,0,946.8,25.4,70,4.5
2013-01-02 00:00:00,0,946.8,26.8,68,3.6
2013-01-02 00:00:00,0,947,24,83,3.8
2013-01-02 00:00:00,0,948.1,19.7,79,4.7
2013-01-03 00:00:00,0,947.1,18.3,86,3.6
2013-01-03 00:00:00,0,947.4,17.9,88,2.5
2013-01-03 00:00:00,0,947.6,17.8,88,2.8
2013-01-03 00:00:00,0,947.9,18,87,3.8
2013-01-03 00:00:00,0,948.1,17.9,89,2.8
2013-01-03 00:00:00,0,948.1,23.3,70,5.7
2013-01-03 00:00:00,0,948.1,24.5,65,6.9
2013-01-03 00:00:00,0,948.2,18.2,85,4.3
2013-01-03 00:00:00,0,948.3,25.1,64,6
2013-01-03 00:00:00,0,948.7,22.4,72,6.1
2013-01-03 00:00:00,0,948.8,18.4,84,4.3
2013-01-03 00:00:00,0,948.9,18.7,84,4
2013-01-03 00:00:00,0,948.9,25,66,5.8
2013-01-03 00:00:00,0,949,19.6,80,4.4
2013-01-03 00:00:00,0,949.1,18.3,89,2.5
2013-01-03 00:00:00,0,949.1,21.2,77,4.1
2013-01-03 00:00:00,0,949.5,19.2,85,3.2
2013-01-03 00:00:00,0,949.7,20,84,2.6
2013-01-03 00:00:00,0,949.7,20.4,78,4.8
2013-01-03 00:00:00,0,949.9,23.6,71,4.3
