Data,"Average of PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","Average of PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)","Average of TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)","Average of UMIDADE RELATIVA DO AR, HORARIA (%)","Average of VENTO, VELOCIDADE HORARIA (m/s)"
2023-01-01 00:00:00,0.008333333333333333,927.4375,21.225,"92,46",1.7291666666666667
2023-01-02 00:00:00,0.008333333333333333,924.8999999999996,23.037499999999998,"80,42",1.6833333333333333
2023-01-03 00:00:00,0.525,922.4583333333335,23.175000000000008,"80,88",2.308333333333333
2023-01-04 00:00:00,1.1833333333333333,922.3750000000003,20.3875,"97,67",2.216666666666667
2023-01-05 00:00:00,0.7166666666666667,925.275,16.7625,"100,00",2.654166666666667
2023-01-06 00:00:00,0.1416666666666667,928.7916666666666,16.570833333333336,"95,04",3.158333333333333
2023-01-07 00:00:00,0.025000000000000005,930.5666666666667,16.937500000000004,"95,58",2.958333333333334
2023-01-08 00:00:00,0.13333333333333333,929.5916666666667,18.308333333333334,"96,54",2.7458333333333336
2023-01-09 00:00:00,0.008333333333333333,928.0499999999998,18.291666666666668,"98,67",2.7708333333333335
2023-01-10 00:00:00,0.08333333333333333,927.0666666666663,19.533333333333328,"98,79",1.3083333333333333
2023-01-11 00:00:00,0.10000000000000002,926.0666666666666,21.758333333333336,"89,58",1.6499999999999997
2023-01-12 00:00:00,0.5249999999999999,924.2625000000002,21.76666666666667,"90,08",1.9458333333333335
2023-01-13 00:00:00,0.15833333333333333,923.3416666666666,23.29166666666667,"86,33",2.2083333333333335
2023-01-14 00:00:00,0.6,925.0208333333334,23.24166666666667,"82,33",2.4291666666666667
2023-01-15 00:00:00,1.9833333333333336,926.7500000000001,24.45,"82,25",1.820833333333333
2023-01-16 00:00:00,0.025000000000000005,926.6041666666666,23.59166666666667,"92,75",1.633333333333333
2023-01-17 00:00:00,0,927.6375000000002,23.641666666666666,"90,63",2.1583333333333337
