Arquivo,Produtos,Valor Comum,Valor Máximo,Valor Mediana,Valor Médio,Valor Mínimo,Semana,Dia,Mês,Ano,Data
01_22,Abobrinha Italiana,90,120,90,94.29,80,1,24,3,2022,2022-03-24 00:00:00
02_22,Abobrinha Italiana,70,100,70,72.78,60,2,31,3,2022,2022-03-31 00:00:00
03_22,Abobrinha Italiana,70,100,75,77.5,70,3,7,4,2022,2022-04-07 00:00:00
04_22,Abobrinha Italiana,70,80,70,68.13,50,4,14,4,2022,2022-04-14 00:00:00
05_22,Abobrinha Italiana,50,90,50,52,35,5,28,4,2022,2022-04-28 00:00:00
06_22,Abobrinha Italiana,60,65,60,58.89,50,6,5,5,2022,2022-05-05 00:00:00
07_22,Abobrinha Italiana,100,100,95,89.44,60,7,12,5,2022,2022-05-12 00:00:00
08_22,Abobrinha Italiana,80,90,82.5,82,60,8,19,5,2022,2022-05-19 00:00:00
09_22,Abobrinha Italiana,100,100,100,98.57,90,9,26,5,2022,2022-05-26 00:00:00
10_22,Abobrinha Italiana,80,90,80,75.71,60,10,2,6,2022,2022-06-02 00:00:00
11_22,Abobrinha Italiana,70,90,70,70,50,11,9,6,2022,2022-06-09 00:00:00
12_22,Abobrinha Italiana,80,90,80,82.14,80,12,16,6,2022,2022-06-16 00:00:00
13_22,Abobrinha Italiana,70,80,70,71.67,60,13,23,6,2022,2022-06-23 00:00:00
14_22,Abobrinha Italiana,70,70,60,57.14,40,14,30,6,2022,2022-06-30 00:00:00
15_22,Abobrinha Italiana,50,50,45,44.29,35,15,7,7,2022,2022-07-07 00:00:00
16_22,Abobrinha Italiana,50,51.43,40,50,60,16,14,7,2022,2022-07-14 00:00:00
17_22,Abobrinha Italiana,40,40,40,0,40,17,28,7,2022,2022-07-28 00:00:00
18_22,Abobrinha Italiana,55,55,50,50,60,18,4,8,2022,2022-08-04 00:00:00
19_22,Abobrinha Italiana,55,54,45,60,60,19,11,8,2022,2022-08-11 00:00:00
20_22,Abobrinha Italiana,60,57.14,40,60,70,20,18,8,2022,2022-08-18 00:00:00
21_22,Abobrinha Italiana,60,56.88,50,60,65,21,8,9,2022,2022-09-08 00:00:00
22_22,Abobrinha Italiana,60,70,60,58.57,50,22,15,9,2022,2022-09-15 00:00:00
23_22,Abobrinha Italiana,50,70,50,47.86,25,23,22,9,2022,2022-09-22 00:00:00
24_22,Abobrinha Italiana,57.86,45,60,70,60,24,29,9,2022,2022-09-29 00:00:00
25_22,Abobrinha Italiana,52.86,45,50,65,50,25,6,10,2022,2022-10-06 00:00:00
26_22,Abobrinha Italiana,44.29,40,40,50,40,26,13,10,2022,2022-10-13 00:00:00
27_22,Abobrinha Italiana,44.29,40,40,50,40,27,20,10,2022,2022-10-20 00:00:00
28_22,Abobrinha Italiana,45,25,40,70,40,28,3,11,2022,2022-11-03 00:00:00
29_22,Abobrinha Italiana,56.25,35,60,70,60,29,10,11,2022,2022-11-10 00:00:00
30_22,Abobrinha Italiana,39.29,30,40,50,40,30,17,11,2022,2022-11-17 00:00:00
31_22,Abobrinha Italiana,29.75,18,30,40,30,31,24,11,2022,2022-11-24 00:00:00
32_22,Abobrinha Italiana,27.5,20,30,30,30,32,1,12,2022,2022-12-01 00:00:00
33_22,Abobrinha Italiana,41.75,20,42.5,60,50,33,8,12,2022,2022-12-08 00:00:00
34_22,Abobrinha Italiana,52.5,35,52.5,70,0,34,15,12,2022,2022-12-15 00:00:00
35_22,Abobrinha Italiana,52.5,40,55,60,60,35,22,12,2022,2022-12-22 00:00:00
36_22,Abobrinha Italiana,33.2,30,35,36,35,36,29,12,2022,2022-12-29 00:00:00
37_23,Abobrinha Italiana,57.5,50,60,60,60,37,5,1,2023,2023-01-05 00:00:00
38_23,Abobrinha Italiana,95.71,80,100,100,100,38,12,1,2023,2023-01-12 00:00:00
39_23,Abobrinha Italiana,52,40,55,60,60,39,19,1,2023,2023-01-19 00:00:00
40_23,Abobrinha Italiana,43.33,30,45,50,50,40,26,1,2023,2023-01-26 00:00:00
41_23,Abobrinha Italiana,50.71,35,50,65,35,41,2,2,2023,2023-02-02 00:00:00
42_23,Abobrinha Italiana,56.88,35,60,70,70,42,16,2,2023,2023-02-16 00:00:00
43_23,Abobrinha Italiana,52.5,40,55,60,60,43,16,2,2023,2023-02-16 00:00:00
01_22,Acelga,35,60,50,42.5,35,1,24,3,2022,2022-03-24 00:00:00
02_22,Acelga,0,60,47,47.25,35,2,31,3,2022,2022-03-31 00:00:00
03_22,Acelga,0,60,54,54,48,3,7,4,2022,2022-04-07 00:00:00
